sample_id,subject_id,split,rgb_path,vis_path
p010_smile_left,p010,train,"Hyper-Skin(RGB, VIS)/train/RGB/p010_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p010_smile_left.mat"
p010_smile_right,p010,train,"Hyper-Skin(RGB, VIS)/train/RGB/p010_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p010_smile_right.mat"
p011_neutral_front,p011,train,"Hyper-Skin(RGB, VIS)/train/RGB/p011_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p011_neutral_front.mat"
p011_neutral_left,p011,train,"Hyper-Skin(RGB, VIS)/train/RGB/p011_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p011_neutral_left.mat"
p011_neutral_right,p011,train,"Hyper-Skin(RGB, VIS)/train/RGB/p011_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p011_neutral_right.mat"
p011_smile_front,p011,train,"Hyper-Skin(RGB, VIS)/train/RGB/p011_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p011_smile_front.mat"
p011_smile_left,p011,train,"Hyper-Skin(RGB, VIS)/train/RGB/p011_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p011_smile_left.mat"
p011_smile_right,p011,train,"Hyper-Skin(RGB, VIS)/train/RGB/p011_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p011_smile_right.mat"
p012_neutral_front,p012,train,"Hyper-Skin(RGB, VIS)/train/RGB/p012_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p012_neutral_front.mat"
p012_neutral_left,p012,train,"Hyper-Skin(RGB, VIS)/train/RGB/p012_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p012_neutral_left.mat"
p012_neutral_right,p012,train,"Hyper-Skin(RGB, VIS)/train/RGB/p012_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p012_neutral_right.mat"
p012_smile_front,p012,train,"Hyper-Skin(RGB, VIS)/train/RGB/p012_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p012_smile_front.mat"
p012_smile_left,p012,train,"Hyper-Skin(RGB, VIS)/train/RGB/p012_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p012_smile_left.mat"
p012_smile_right,p012,train,"Hyper-Skin(RGB, VIS)/train/RGB/p012_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p012_smile_right.mat"
p013_neutral_front,p013,train,"Hyper-Skin(RGB, VIS)/train/RGB/p013_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p013_neutral_front.mat"
p013_neutral_left,p013,train,"Hyper-Skin(RGB, VIS)/train/RGB/p013_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p013_neutral_left.mat"
p013_neutral_right,p013,train,"Hyper-Skin(RGB, VIS)/train/RGB/p013_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p013_neutral_right.mat"
p013_smile_front,p013,train,"Hyper-Skin(RGB, VIS)/train/RGB/p013_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p013_smile_front.mat"
p013_smile_left,p013,train,"Hyper-Skin(RGB, VIS)/train/RGB/p013_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p013_smile_left.mat"
p013_smile_right,p013,train,"Hyper-Skin(RGB, VIS)/train/RGB/p013_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p013_smile_right.mat"
p014_neutral_front,p014,train,"Hyper-Skin(RGB, VIS)/train/RGB/p014_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p014_neutral_front.mat"
p014_neutral_left,p014,train,"Hyper-Skin(RGB, VIS)/train/RGB/p014_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p014_neutral_left.mat"
p014_neutral_right,p014,train,"Hyper-Skin(RGB, VIS)/train/RGB/p014_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p014_neutral_right.mat"
p014_smile_front,p014,train,"Hyper-Skin(RGB, VIS)/train/RGB/p014_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p014_smile_front.mat"
p014_smile_left,p014,train,"Hyper-Skin(RGB, VIS)/train/RGB/p014_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p014_smile_left.mat"
p014_smile_right,p014,train,"Hyper-Skin(RGB, VIS)/train/RGB/p014_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p014_smile_right.mat"
p015_neutral_front,p015,train,"Hyper-Skin(RGB, VIS)/train/RGB/p015_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p015_neutral_front.mat"
p015_neutral_left,p015,train,"Hyper-Skin(RGB, VIS)/train/RGB/p015_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p015_neutral_left.mat"
p015_neutral_right,p015,train,"Hyper-Skin(RGB, VIS)/train/RGB/p015_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p015_neutral_right.mat"
p015_smile_front,p015,train,"Hyper-Skin(RGB, VIS)/train/RGB/p015_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p015_smile_front.mat"
p015_smile_left,p015,train,"Hyper-Skin(RGB, VIS)/train/RGB/p015_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p015_smile_left.mat"
p015_smile_right,p015,train,"Hyper-Skin(RGB, VIS)/train/RGB/p015_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p015_smile_right.mat"
p017_neutral_front,p017,train,"Hyper-Skin(RGB, VIS)/train/RGB/p017_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p017_neutral_front.mat"
p017_neutral_left,p017,train,"Hyper-Skin(RGB, VIS)/train/RGB/p017_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p017_neutral_left.mat"
p017_neutral_right,p017,train,"Hyper-Skin(RGB, VIS)/train/RGB/p017_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p017_neutral_right.mat"
p017_smile_front,p017,train,"Hyper-Skin(RGB, VIS)/train/RGB/p017_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p017_smile_front.mat"
p017_smile_left,p017,train,"Hyper-Skin(RGB, VIS)/train/RGB/p017_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p017_smile_left.mat"
p017_smile_right,p017,train,"Hyper-Skin(RGB, VIS)/train/RGB/p017_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p017_smile_right.mat"
p018_neutral_front,p018,train,"Hyper-Skin(RGB, VIS)/train/RGB/p018_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p018_neutral_front.mat"
p018_neutral_left,p018,train,"Hyper-Skin(RGB, VIS)/train/RGB/p018_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p018_neutral_left.mat"
p018_neutral_right,p018,train,"Hyper-Skin(RGB, VIS)/train/RGB/p018_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p018_neutral_right.mat"
p018_smile_front,p018,train,"Hyper-Skin(RGB, VIS)/train/RGB/p018_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p018_smile_front.mat"
p018_smile_left,p018,train,"Hyper-Skin(RGB, VIS)/train/RGB/p018_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p018_smile_left.mat"
p018_smile_right,p018,train,"Hyper-Skin(RGB, VIS)/train/RGB/p018_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p018_smile_right.mat"
p019_neutral_front,p019,train,"Hyper-Skin(RGB, VIS)/train/RGB/p019_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p019_neutral_front.mat"
p019_neutral_left,p019,train,"Hyper-Skin(RGB, VIS)/train/RGB/p019_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p019_neutral_left.mat"
p019_neutral_right,p019,train,"Hyper-Skin(RGB, VIS)/train/RGB/p019_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p019_neutral_right.mat"
p019_smile_front,p019,train,"Hyper-Skin(RGB, VIS)/train/RGB/p019_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p019_smile_front.mat"
p019_smile_left,p019,train,"Hyper-Skin(RGB, VIS)/train/RGB/p019_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p019_smile_left.mat"
p019_smile_right,p019,train,"Hyper-Skin(RGB, VIS)/train/RGB/p019_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p019_smile_right.mat"
p020_neutral_front,p020,train,"Hyper-Skin(RGB, VIS)/train/RGB/p020_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p020_neutral_front.mat"
p020_neutral_left,p020,train,"Hyper-Skin(RGB, VIS)/train/RGB/p020_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p020_neutral_left.mat"
p020_neutral_right,p020,train,"Hyper-Skin(RGB, VIS)/train/RGB/p020_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p020_neutral_right.mat"
p020_smile_front,p020,train,"Hyper-Skin(RGB, VIS)/train/RGB/p020_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p020_smile_front.mat"
p020_smile_left,p020,train,"Hyper-Skin(RGB, VIS)/train/RGB/p020_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p020_smile_left.mat"
p020_smile_right,p020,train,"Hyper-Skin(RGB, VIS)/train/RGB/p020_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p020_smile_right.mat"
p021_neutral_front,p021,train,"Hyper-Skin(RGB, VIS)/train/RGB/p021_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p021_neutral_front.mat"
p021_neutral_left,p021,train,"Hyper-Skin(RGB, VIS)/train/RGB/p021_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p021_neutral_left.mat"
p021_neutral_right,p021,train,"Hyper-Skin(RGB, VIS)/train/RGB/p021_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p021_neutral_right.mat"
p021_smile_front,p021,train,"Hyper-Skin(RGB, VIS)/train/RGB/p021_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p021_smile_front.mat"
p021_smile_left,p021,train,"Hyper-Skin(RGB, VIS)/train/RGB/p021_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p021_smile_left.mat"
p021_smile_right,p021,train,"Hyper-Skin(RGB, VIS)/train/RGB/p021_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p021_smile_right.mat"
p022_neutral_front,p022,train,"Hyper-Skin(RGB, VIS)/train/RGB/p022_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p022_neutral_front.mat"
p022_neutral_left,p022,train,"Hyper-Skin(RGB, VIS)/train/RGB/p022_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p022_neutral_left.mat"
p022_neutral_right,p022,train,"Hyper-Skin(RGB, VIS)/train/RGB/p022_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p022_neutral_right.mat"
p022_smile_front,p022,train,"Hyper-Skin(RGB, VIS)/train/RGB/p022_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p022_smile_front.mat"
p022_smile_left,p022,train,"Hyper-Skin(RGB, VIS)/train/RGB/p022_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p022_smile_left.mat"
p022_smile_right,p022,train,"Hyper-Skin(RGB, VIS)/train/RGB/p022_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p022_smile_right.mat"
p023_neutral_front,p023,train,"Hyper-Skin(RGB, VIS)/train/RGB/p023_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p023_neutral_front.mat"
p023_neutral_left,p023,train,"Hyper-Skin(RGB, VIS)/train/RGB/p023_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p023_neutral_left.mat"
p023_neutral_right,p023,train,"Hyper-Skin(RGB, VIS)/train/RGB/p023_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p023_neutral_right.mat"
p023_smile_front,p023,train,"Hyper-Skin(RGB, VIS)/train/RGB/p023_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p023_smile_front.mat"
p023_smile_left,p023,train,"Hyper-Skin(RGB, VIS)/train/RGB/p023_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p023_smile_left.mat"
p023_smile_right,p023,train,"Hyper-Skin(RGB, VIS)/train/RGB/p023_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p023_smile_right.mat"
p024_neutral_front,p024,train,"Hyper-Skin(RGB, VIS)/train/RGB/p024_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p024_neutral_front.mat"
p024_neutral_left,p024,train,"Hyper-Skin(RGB, VIS)/train/RGB/p024_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p024_neutral_left.mat"
p024_neutral_right,p024,train,"Hyper-Skin(RGB, VIS)/train/RGB/p024_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p024_neutral_right.mat"
p024_smile_front,p024,train,"Hyper-Skin(RGB, VIS)/train/RGB/p024_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p024_smile_front.mat"
p024_smile_left,p024,train,"Hyper-Skin(RGB, VIS)/train/RGB/p024_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p024_smile_left.mat"
p024_smile_right,p024,train,"Hyper-Skin(RGB, VIS)/train/RGB/p024_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p024_smile_right.mat"
p025_neutral_front,p025,train,"Hyper-Skin(RGB, VIS)/train/RGB/p025_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p025_neutral_front.mat"
p025_neutral_left,p025,train,"Hyper-Skin(RGB, VIS)/train/RGB/p025_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p025_neutral_left.mat"
p025_neutral_right,p025,train,"Hyper-Skin(RGB, VIS)/train/RGB/p025_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p025_neutral_right.mat"
p025_smile_front,p025,train,"Hyper-Skin(RGB, VIS)/train/RGB/p025_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p025_smile_front.mat"
p025_smile_left,p025,train,"Hyper-Skin(RGB, VIS)/train/RGB/p025_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p025_smile_left.mat"
p025_smile_right,p025,train,"Hyper-Skin(RGB, VIS)/train/RGB/p025_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p025_smile_right.mat"
p026_neutral_front,p026,train,"Hyper-Skin(RGB, VIS)/train/RGB/p026_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p026_neutral_front.mat"
p026_neutral_left,p026,train,"Hyper-Skin(RGB, VIS)/train/RGB/p026_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p026_neutral_left.mat"
p026_neutral_right,p026,train,"Hyper-Skin(RGB, VIS)/train/RGB/p026_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p026_neutral_right.mat"
